model,fpr,tpr,threshold
Logistic Regression,0.106539309331374,0.20500782472613457,0.6257225219476248
Logistic Regression,0.10727406318883174,0.20500782472613457,0.6256364407426449
Logistic Regression,0.10727406318883174,0.2081377151799687,0.6252105822030648
Logistic Regression,0.11168258633357825,0.2081377151799687,0.6222381110374224
Logistic Regression,0.11168258633357825,0.2112676056338028,0.6215955583202117
Logistic Regression,0.11315209404849376,0.2112676056338028,0.6207984981599252
Logistic Regression,0.11315209404849376,0.2190923317683881,0.6191256737939065
Logistic Regression,0.115356355620867,0.2190923317683881,0.6182962500748421
Logistic Regression,0.115356355620867,0.22065727699530516,0.6180552740634088
Logistic Regression,0.11829537105069801,0.22065727699530516,0.6165583368328853
Logistic Regression,0.11829537105069801,0.2222222222222222,0.6156656731085366
Logistic Regression,0.11903012490815577,0.2222222222222222,0.6155675941160007
Logistic Regression,0.11903012490815577,0.2237871674491393,0.6154183884487512
Logistic Regression,0.11976487876561352,0.2237871674491393,0.6153918297471394
Logistic Regression,0.11976487876561352,0.2269170579029734,0.6151852063708895
Logistic Regression,0.12123438648052902,0.2269170579029734,0.6148347780268709
Logistic Regression,0.12123438648052902,0.22848200312989045,0.6147281342829459
Logistic Regression,0.12196914033798678,0.22848200312989045,0.6143655169430685
Logistic Regression,0.12196914033798678,0.23943661971830985,0.6129308605844228
Logistic Regression,0.12270389419544453,0.23943661971830985,0.612799263486171
Logistic Regression,0.12270389419544453,0.24413145539906103,0.6122118803142804
Logistic Regression,0.12343864805290228,0.24413145539906103,0.6111965783385014
Logistic Regression,0.12343864805290228,0.24726134585289514,0.610854332602798
Logistic Regression,0.12564290962527552,0.24726134585289514,0.6099791447369867
Logistic Regression,0.12564290962527552,0.25039123630672927,0.6099091420653021
Logistic Regression,0.1278471711976488,0.25039123630672927,0.6088746530193271
Logistic Regression,0.1278471711976488,0.2519561815336463,0.6088571481516273
Logistic Regression,0.12858192505510654,0.2519561815336463,0.6087686617326035
Logistic Regression,0.12858192505510654,0.2535211267605634,0.6081816702928221
Logistic Regression,0.13152094048493754,0.2535211267605634,0.606518697049853
Logistic Regression,0.13152094048493754,0.25508607198748046,0.6061619624658575
Logistic Regression,0.13299044819985306,0.25508607198748046,0.6057314874262829
Logistic Regression,0.13299044819985306,0.25821596244131456,0.6051834394622994
Logistic Regression,0.1337252020573108,0.25821596244131456,0.6051092432791317
Logistic Regression,0.1337252020573108,0.2597809076682316,0.6051065049271581
